X,Y,Z,C
-52.0421,15.7075,-7.2517,4.0000
-52.2633,15.6797,-7.2517,4.0000
-52.4845,15.6505,-7.2517,4.0000
-52.7058,15.6198,-7.2517,4.0000
-52.9271,15.5875,-7.2517,4.0000
-53.1484,15.5538,-7.2517,4.0000
-53.3698,15.5185,-7.2517,4.0000
-53.5912,15.4817,-7.2517,4.0000
-53.8126,15.4433,-7.2517,4.0000
-54.0341,15.4035,-7.2517,4.0000
-54.2557,15.3620,-7.2517,4.0000
-54.4772,15.3191,-7.2517,4.0000
-54.6988,15.2746,-7.2517,4.0000
-54.9205,15.2285,-7.2517,4.0000
-55.1422,15.1809,-7.2517,4.0000
-55.3639,15.1317,-7.2517,4.0000
-55.5857,15.0810,-7.2517,4.0000
-41.0966,13.4748,-7.2517,4.0000
-41.3013,13.5231,-7.2517,4.0000
-41.5061,13.5699,-7.2517,4.0000
-41.7109,13.6153,-7.2517,4.0000
-41.9157,13.6591,-7.2517,4.0000
-42.1205,13.7015,-7.2517,4.0000
-42.3253,13.7423,-7.2517,4.0000
-42.5301,13.7817,-7.2517,4.0000
-42.7349,13.8197,-7.2517,4.0000
-42.9397,13.8561,-7.2517,4.0000
-43.1445,13.8911,-7.2517,4.0000
-43.3494,13.9246,-7.2517,4.0000
-43.5542,13.9567,-7.2517,4.0000
-43.7590,13.9873,-7.2517,4.0000
-43.9639,14.0164,-7.2517,4.0000
-44.1687,14.0441,-7.2517,4.0000
-44.3736,14.0703,-7.2517,4.0000
-44.5784,14.0951,-7.2517,4.0000
-44.7833,14.1185,-7.2517,4.0000
-44.9882,14.1404,-7.2517,4.0000
-45.1930,14.1609,-7.2517,4.0000
-45.3979,14.1799,-7.2517,4.0000
-45.6027,14.1975,-7.2517,4.0000
-45.8076,14.2137,-7.2517,4.0000
-46.0125,14.2284,-7.2517,4.0000
-46.2173,14.2417,-7.2517,4.0000
-46.4222,14.2536,-7.2517,4.0000
-46.6271,14.2641,-7.2517,4.0000
-46.8320,14.2731,-7.2517,4.0000
-47.0368,14.2807,-7.2517,4.0000
-47.2417,14.2869,-7.2517,4.0000
-47.4466,14.2916,-7.2517,4.0000
-47.6514,14.2949,-7.2517,4.0000
-47.8563,14.2968,-7.2517,4.0000
-48.0612,14.2973,-7.2517,4.0000
-48.2661,14.2964,-7.2517,4.0000
-48.4709,14.2940,-7.2517,4.0000
-48.6758,14.2902,-7.2517,4.0000
-48.8807,14.2850,-7.2517,4.0000
-49.0856,14.2783,-7.2517,4.0000
-49.2904,14.2703,-7.2517,4.0000
-49.4953,14.2608,-7.2517,4.0000
-49.7002,14.2499,-7.2517,4.0000
-49.9050,14.2375,-7.2517,4.0000
-50.1099,14.2237,-7.2517,4.0000
-50.3148,14.2085,-7.2517,4.0000
-50.5196,14.1919,-7.2517,4.0000
-50.7245,14.1738,-7.2517,4.0000
-50.9294,14.1543,-7.2517,4.0000
-51.1342,14.1334,-7.2517,4.0000
-51.3391,14.1110,-7.2517,4.0000
-51.5439,14.0871,-7.2517,4.0000
-51.7488,14.0619,-7.2517,4.0000
-51.9536,14.0351,-7.2517,4.0000
-52.1585,14.0070,-7.2517,4.0000
-52.3633,13.9774,-7.2517,4.0000
-52.5682,13.9463,-7.2517,4.0000
-52.7730,13.9137,-7.2517,4.0000
-52.9778,13.8797,-7.2517,4.0000
